time_ms,src,dst,bytes
0.332,2,3,1200
0.332,0,1,1200
0.332,8,9,1200
0.333,11,12,1200
0.335,15,0,1200
0.336,5,6,1200
0.338,7,8,1200
0.338,3,4,1200
0.339,14,15,1200
0.342,5,6,1200
0.342,6,7,1200
0.342,9,10,1200
0.343,12,13,1200
0.343,0,1,1200
0.344,2,3,1200
0.344,4,5,1200
0.346,0,1,1200
0.346,3,4,1200
0.346,5,6,1200
0.348,2,3,1200
0.348,2,3,1200
0.349,13,14,1200
0.351,11,12,1200
0.352,15,0,1200
0.353,0,1,1200
0.355,10,11,1200
0.356,11,12,1200
0.358,5,6,1200
0.358,7,8,1200
0.358,14,15,1200
0.359,2,3,1200
0.361,7,8,1200
0.361,13,14,1200
0.362,5,6,1200
0.364,12,13,1200
0.365,6,7,1200
0.367,15,0,1200
0.367,4,5,1200
0.367,10,11,1200
0.367,1,2,1200
0.368,11,12,1200
0.368,1,2,1200
0.371,1,2,1200
0.372,3,4,1200
0.372,4,5,1200
0.377,3,4,1200
0.379,6,7,1200
0.381,8,9,1200
0.384,11,12,1200
0.384,12,13,1200
0.385,9,10,1200
0.385,15,0,1200
0.387,11,12,1200
0.388,0,1,1200
0.388,1,2,1200
0.389,1,2,1200
0.389,15,0,1200
0.389,12,13,1200
0.390,2,3,1200
0.391,10,11,1200
0.391,15,0,1200
0.392,14,15,1200
0.395,8,9,1200
0.395,6,7,1200
0.396,5,6,1200
0.396,10,11,1200
0.398,8,9,1200
0.398,1,2,1200
0.398,10,11,1200
0.399,5,6,1200
0.400,0,1,1200
0.400,7,8,1200
0.401,9,10,1200
0.401,11,12,1200
0.402,0,1,1200
0.403,10,11,1200
0.404,9,10,1200
0.405,9,10,1200
0.406,9,10,1200
0.409,7,8,1200
0.414,8,9,1200
0.416,14,15,1200
0.416,13,14,1200
0.417,4,5,1200
0.418,14,15,1200
0.418,7,8,1200
0.419,12,13,1200
0.419,14,15,1200
0.419,6,7,1200
0.420,2,3,1200
0.421,14,15,1200
0.421,10,11,1200
0.423,0,1,1200
0.423,13,14,1200
0.423,15,0,1200
0.424,14,15,1200
0.424,10,11,1200
0.426,9,10,1200
0.427,14,15,1200
0.427,14,15,1200
0.428,4,5,1200
0.428,1,2,1200
0.430,11,12,1200
0.433,3,4,1200
0.434,13,14,1200
0.434,14,15,1200
0.436,4,5,1200
0.437,10,11,1200
0.437,4,5,1200
0.439,1,2,1200
0.439,4,5,1200
0.441,5,6,1200
0.442,13,14,1200
0.442,15,0,1200
0.444,0,1,1200
0.445,3,4,1200
0.446,5,6,1200
0.447,9,10,1200
0.448,3,13,1200
0.451,7,8,1200
0.455,6,7,1200
0.455,15,0,1200
0.456,11,12,1200
0.457,10,11,1200
0.459,0,1,1200
0.460,13,14,1200
0.460,5,6,1200
0.460,5,6,1200
0.463,0,1,1200
0.463,9,10,1200
0.463,6,7,1200
0.465,11,12,1200
0.465,4,5,1200
0.465,13,14,1200
0.465,10,11,1200
0.466,2,3,1200
0.467,10,11,1200
0.468,12,13,1200
0.469,8,9,1200
0.469,7,8,1200
0.472,2,3,1200
0.472,11,12,1200
0.474,8,9,1200
0.474,3,4,1200
0.475,5,6,1200
0.476,12,13,1200
0.476,11,12,1200
0.476,8,9,1200
0.476,1,2,1200
0.478,5,6,1200
0.478,10,11,1200
0.478,10,11,1200
0.479,2,3,1200
0.479,9,10,1200
0.480,5,6,1200
0.481,15,0,1200
0.482,11,12,1200
0.483,15,0,1200
0.487,6,7,1200
0.488,5,6,1200
0.488,0,1,1200
0.489,9,10,1200
0.493,7,8,1200
0.493,3,4,1200
0.494,13,14,1200
0.495,2,3,1200
0.495,11,12,1200
0.496,4,5,1200
0.497,3,4,1200
0.498,14,15,1200
0.498,14,15,1200
0.500,12,13,1200
0.500,4,5,1200
0.501,3,4,1200
0.503,15,0,1200
0.504,13,14,1200
0.505,6,7,1200
0.506,9,10,1200
0.507,15,0,1200
0.507,4,5,1200
0.508,0,1,1200
0.510,3,4,1200
0.511,11,12,1200
0.513,14,15,1200
0.514,15,0,1200
0.521,8,9,1200
0.521,3,4,1200
0.524,11,12,1200
0.525,14,15,1200
0.526,1,2,1200
0.527,1,2,1200
0.527,14,15,1200
0.529,9,10,1200
0.530,15,0,1200
0.531,9,10,1200
0.533,9,10,1200
0.534,15,0,1200
0.534,8,9,1200
0.534,13,14,1200
0.535,13,14,1200
0.536,10,11,1200
0.536,6,7,1200
0.538,15,0,1200
0.538,13,14,1200
0.539,12,13,1200
0.541,6,7,1200
0.542,12,13,1200
0.542,13,14,1200
0.544,6,7,1200
0.544,11,12,1200
0.546,12,13,1200
0.546,15,0,1200
0.547,3,4,1200
0.547,12,13,1200
0.549,3,4,1200
0.549,13,14,1200
0.552,3,4,1200
0.553,11,12,1200
0.554,4,5,1200
0.554,15,0,1200
0.555,5,6,1200
0.555,13,14,1200
0.557,7,8,1200
0.558,10,11,1200
0.559,13,14,1200
0.561,13,14,1200
0.561,2,3,1200
0.561,7,8,1200
0.562,5,6,1200
0.563,4,5,1200
0.564,12,13,1200
0.567,2,3,1200
0.568,9,10,1200
0.569,10,11,1200
0.570,14,15,1200
0.571,13,14,1200
0.572,3,4,1200
0.573,6,7,1200
0.573,2,3,1200
0.575,7,8,1200
0.575,0,1,1200
0.576,2,3,1200
0.577,4,5,1200
0.580,12,13,1200
0.583,14,15,1200
0.583,0,1,1200
0.584,10,11,1200
0.585,8,9,1200
0.588,2,3,1200
0.589,7,8,1200
0.590,15,0,1200
0.590,11,12,1200
0.591,7,8,1200
0.594,1,2,1200
0.595,8,9,1200
0.596,5,6,1200
0.597,2,3,1200
0.598,4,5,1200
0.599,9,10,1200
0.600,8,9,1200
0.600,8,9,1200
0.601,5,6,1200
0.601,11,12,1200
0.602,2,3,1200
0.603,6,7,1200
0.605,11,12,1200
0.607,10,11,1200
0.608,6,7,1200
0.608,11,12,1200
0.609,10,11,1200
0.612,13,14,1200
0.612,13,14,1200
0.613,12,13,1200
0.615,6,7,1200
0.616,14,15,1200
0.619,8,9,1200
0.620,3,4,1200
0.620,2,3,1200
0.620,15,0,1200
0.620,0,1,1200
0.621,2,3,1200
0.622,6,7,1200
0.624,1,2,1200
0.624,3,4,1200
0.624,5,6,1200
0.624,9,10,1200
0.626,13,14,1200
0.629,12,13,1200
0.629,13,14,1200
0.631,12,13,1200
0.632,8,9,1200
0.633,14,15,1200
0.633,8,9,1200
0.633,6,7,1200
0.634,12,13,1200
0.635,1,2,1200
0.635,2,3,1200
0.636,1,2,1200
0.636,13,14,1200
0.636,11,12,1200
0.637,14,15,1200
0.637,13,14,1200
0.640,6,7,1200
0.642,3,4,1200
0.642,4,5,1200
0.643,5,6,1200
0.644,2,3,1200
0.645,14,15,1200
0.646,7,8,1200
0.646,9,10,1200
0.650,6,7,1200
0.650,6,7,1200
0.652,4,5,1200
0.653,6,7,1200
0.653,11,12,1200
0.654,3,4,1200
0.655,11,12,1200
0.655,11,12,1200
0.656,14,15,1200
0.656,11,12,1200
0.658,0,1,1200
0.661,4,5,1200
0.661,9,10,1200
0.662,5,6,1200
0.663,11,12,1200
0.663,13,14,1200
0.663,6,7,1200
0.665,10,11,1200
0.665,0,1,1200
0.665,1,2,1200
0.666,3,4,1200
0.669,12,13,1200
0.670,4,5,1200
0.671,1,2,1200
0.671,4,5,1200
0.672,11,12,1200
0.672,0,1,1200
0.672,9,10,1200
0.672,1,2,1200
0.673,0,1,1200
0.673,9,10,1200
0.677,9,10,1200
0.678,11,12,1200
0.678,8,9,1200
0.684,0,1,1200
0.684,0,1,1200
0.685,3,4,1200
0.686,8,9,1200
0.686,12,13,1200
0.687,3,4,1200
0.689,12,13,1200
0.689,6,7,1200
0.692,10,11,1200
0.692,1,2,1200
0.693,14,15,1200
0.693,0,1,1200
0.696,2,3,1200
0.696,6,7,1200
0.697,11,12,1200
0.699,10,11,1200
0.699,10,11,1200
0.700,15,0,1200
0.701,6,7,1200
0.702,4,5,1200
0.703,1,2,1200
0.704,9,10,1200
0.704,0,1,1200
0.704,6,7,1200
0.706,3,4,1200
0.706,12,13,1200
0.707,10,11,1200
0.711,6,7,1200
0.713,15,0,1200
0.713,9,10,1200
0.715,8,9,1200
0.716,12,13,1200
0.716,14,15,1200
0.716,9,10,1200
0.717,2,3,1200
0.719,14,15,1200
0.720,3,4,1200
0.721,6,7,1200
0.722,9,10,1200
0.722,0,1,1200
0.722,11,12,1200
0.723,2,3,1200
0.724,2,3,1200
0.725,14,15,1200
0.726,5,6,1200
0.726,13,14,1200
0.728,0,1,1200
0.729,10,11,1200
0.730,10,11,1200
0.730,2,3,1200
0.730,0,1,1200
0.732,10,11,1200
0.733,13,14,1200
0.737,6,7,1200
0.738,3,4,1200
0.738,8,9,1200
0.739,1,2,1200
0.741,15,0,1200
0.741,4,5,1200
0.742,3,4,1200
0.742,4,5,1200
0.743,9,10,1200
0.745,13,14,1200
0.747,14,15,1200
0.748,7,8,1200
0.750,15,0,1200
0.750,9,10,1200
0.751,2,10,1200
0.752,12,13,1200
0.752,5,6,1200
0.752,4,5,1200
0.754,12,13,1200
0.755,10,11,1200
0.755,6,7,1200
0.757,13,14,1200
0.757,5,6,1200
0.761,13,14,1200
0.763,12,13,1200
0.765,12,13,1200
0.765,9,10,1200
0.766,15,0,1200
0.766,0,1,1200
0.766,9,10,1200
0.767,6,7,1200
0.767,12,13,1200
0.768,8,9,1200
0.768,13,14,1200
0.769,12,13,1200
0.770,0,1,1200
0.772,2,3,1200
0.772,3,4,1200
0.774,9,10,1200
0.775,6,7,1200
0.775,0,1,1200
0.776,9,10,1200
0.776,0,1,1200
0.776,5,6,1200
0.778,13,14,1200
0.780,5,6,1200
0.781,15,0,1200
0.781,13,14,1200
0.783,7,8,1200
0.783,6,7,1200
0.786,15,0,1200
0.793,10,11,1200
0.793,0,1,1200
0.794,9,10,1200
0.795,14,15,1200
0.797,3,4,1200
0.798,7,8,1200
0.798,5,6,1200
0.798,8,9,1200
0.801,8,9,1200
0.802,11,12,1200
0.805,1,2,1200
0.805,10,11,1200
0.806,2,3,1200
0.806,8,9,1200
0.807,9,10,1200
0.809,15,0,1200
0.810,4,5,1200
0.811,6,7,1200
0.811,5,6,1200
0.813,11,12,1200
0.814,0,1,1200
0.814,10,11,1200
0.816,9,10,1200
0.817,10,11,1200
0.820,10,11,1200
0.820,13,14,1200
0.820,2,3,1200
0.821,5,6,1200
0.822,13,14,1200
0.822,4,5,1200
0.822,5,6,1200
0.825,13,14,1200
0.826,8,9,1200
0.828,9,10,1200
0.829,0,1,1200
0.829,1,2,1200
0.829,2,3,1200
0.829,4,5,1200
0.830,7,8,1200
0.830,0,1,1200
0.830,3,4,1200
0.830,4,5,1200
0.830,8,9,1200
0.830,12,13,1200
0.831,8,9,1200
0.833,1,2,1200
0.834,11,12,1200
0.834,11,12,1200
0.834,3,4,1200
0.836,12,13,1200
0.839,1,2,1200
0.841,3,4,1200
0.842,7,8,1200
0.843,7,8,1200
0.844,8,9,1200
0.846,12,13,1200
0.849,13,14,1200
0.849,8,9,1200
0.850,2,3,1200
0.850,15,0,1200
0.850,13,14,1200
0.851,9,10,1200
0.851,15,0,1200
0.853,4,5,1200
0.853,13,14,1200
0.853,6,7,1200
0.853,2,3,1200
0.854,4,5,1200
0.854,12,13,1200
0.855,3,4,1200
0.856,7,8,1200
0.856,8,9,1200
0.856,12,13,1200
0.857,6,7,1200
0.860,13,14,1200
0.860,12,13,1200
0.861,1,2,1200
0.861,9,10,1200
0.863,12,13,1200
0.865,10,11,1200
0.866,10,11,1200
0.866,1,2,1200
0.867,2,3,1200
0.868,5,6,1200
0.868,5,6,1200
0.869,7,8,1200
0.870,10,11,1200
0.871,11,12,1200
0.872,4,5,1200
0.872,7,8,1200
0.873,13,14,1200
0.874,6,7,1200
0.875,4,5,1200
0.876,10,11,1200
0.880,4,5,1200
0.880,5,6,1200
0.880,4,5,1200
0.881,12,13,1200
0.882,4,5,1200
0.883,10,11,1200
0.884,14,15,1200
0.884,2,3,1200
0.884,5,6,1200
0.885,11,12,1200
0.886,13,14,1200
0.887,14,15,1200
0.887,12,13,1200
0.887,5,6,1200
0.888,11,12,1200
0.888,12,13,1200
0.889,14,15,1200
0.889,9,10,1200
0.890,3,4,1200
0.890,4,5,1200
0.890,1,2,1200
0.892,6,7,1200
0.892,14,15,1200
0.894,13,14,1200
0.900,11,12,1200
0.900,10,11,1200
0.903,12,13,1200
0.906,11,12,1200
0.906,14,15,1200
0.906,13,14,1200
0.906,1,2,1200
0.909,2,3,1200
0.909,0,1,1200
0.911,11,12,1200
0.912,4,5,1200
0.915,8,9,1200
0.915,5,6,1200
0.915,1,2,1200
0.915,13,14,1200
0.916,7,8,1200
0.917,7,8,1200
0.918,2,3,1200
0.919,0,1,1200
0.921,0,1,1200
0.921,10,11,1200
0.923,12,13,1200
0.925,7,8,1200
0.925,12,13,1200
0.926,4,5,1200
0.927,7,8,1200
0.927,6,7,1200
0.928,13,14,1200
0.930,8,9,1200
0.932,0,1,1200
0.932,11,12,1200
0.934,12,13,1200
0.936,8,9,1200
0.937,13,14,1200
0.938,6,7,1200
0.938,2,3,1200
0.938,8,9,1200
0.939,0,1,1200
0.939,15,0,1200
0.940,0,7,1200
0.942,13,14,1200
0.942,3,4,1200
0.944,9,10,1200
0.944,14,15,1200
0.944,11,12,1200
0.947,13,14,1200
0.948,4,5,1200
0.948,15,0,1200
0.949,12,13,1200
0.949,6,7,1200
0.950,9,10,1200
0.952,7,8,1200
0.953,10,11,1200
0.954,5,6,1200
0.954,11,12,1200
0.954,2,3,1200
0.954,6,7,1200
0.956,12,13,1200
0.957,3,4,1200
0.959,6,7,1200
0.959,14,15,1200
0.960,13,14,1200
0.961,7,8,1200
0.962,1,2,1200
0.962,14,15,1200
0.963,4,5,1200
0.964,11,12,1200
0.965,15,0,1200
0.967,3,4,1200
0.968,14,15,1200
0.970,14,15,1200
0.970,1,2,1200
0.971,5,6,1200
0.971,8,9,1200
0.971,8,9,1200
0.971,10,11,1200
0.972,11,12,1200
0.972,11,12,1200
0.972,3,4,1200
0.973,1,2,1200
0.975,7,8,1200
0.977,14,15,1200
0.977,14,15,1200
0.980,3,4,1200
0.981,12,13,1200
0.983,3,4,1200
0.984,1,2,1200
0.986,12,13,1200
0.987,10,11,1200
0.988,2,3,1200
0.990,14,15,1200
0.991,15,0,1200
0.991,15,0,1200
0.991,3,4,1200
0.992,15,0,1200
0.992,5,6,1200
0.992,4,5,1200
0.992,8,9,1200
0.993,2,3,1200
0.994,9,10,1200
0.995,7,8,1200
0.997,1,2,1200
0.997,1,2,1200
0.997,4,5,1200
1.000,1,2,1200
1.001,4,5,1200
1.003,10,11,1200
1.003,11,12,1200
1.006,0,1,1200
1.006,2,3,1200
1.006,8,9,1200
1.006,9,10,1200
1.007,7,8,1200
1.008,10,11,1200
1.009,11,12,1200
1.010,2,3,1200
1.010,1,2,1200
1.010,10,11,1200
1.011,6,7,1200
1.012,2,3,1200
1.013,10,11,1200
1.014,2,3,1200
1.014,5,6,1200
1.015,1,2,1200
1.015,9,10,1200
1.017,6,7,1200
1.017,2,3,1200
1.018,8,9,1200
1.018,4,5,1200
1.019,10,11,1200
1.020,8,9,1200
1.024,12,13,1200
1.024,8,9,1200
1.025,5,6,1200
1.025,9,10,1200
1.027,15,0,1200
1.028,10,11,1200
1.030,9,10,1200
1.031,2,3,1200
1.032,3,4,1200
1.032,15,0,1200
1.033,13,14,1200
1.035,0,1,1200
1.035,6,7,1200
1.036,0,1,1200
1.038,7,8,1200
1.038,1,2,1200
1.038,2,3,1200
1.038,10,11,1200
1.041,14,15,1200
1.041,3,4,1200
1.043,13,14,1200
1.044,13,14,1200
1.044,14,15,1200
1.045,1,2,1200
1.046,12,13,1200
1.049,11,12,1200
1.050,1,2,1200
1.050,10,11,1200
1.050,9,10,1200
1.051,6,7,1200
1.053,12,13,1200
1.057,12,13,1200
1.057,14,15,1200
1.060,9,10,1200
1.060,5,6,1200
1.061,5,6,1200
1.062,15,0,1200
1.063,2,3,1200
1.063,9,10,1200
1.064,14,15,1200
1.066,14,15,1200
1.066,15,0,1200
1.067,9,10,1200
1.068,2,3,1200
1.069,9,10,1200
1.071,3,4,1200
1.072,5,6,1200
1.073,10,11,1200
1.073,6,7,1200
1.073,8,9,1200
1.073,10,11,1200
1.074,4,5,1200
1.075,8,9,1200
1.075,0,1,1200
1.075,3,4,1200
1.076,8,9,1200
1.077,10,11,1200
1.080,3,4,1200
1.081,13,14,1200
1.081,4,5,1200
1.083,12,13,1200
1.083,10,11,1200
1.083,6,7,1200
1.083,0,1,1200
1.085,5,6,1200
1.085,11,12,1200
1.086,0,1,1200
1.086,13,14,1200
1.087,8,9,1200
1.087,14,15,1200
1.088,3,4,1200
1.088,2,3,1200
1.091,4,5,1200
1.091,7,8,1200
1.093,8,9,1200
1.094,15,0,1200
1.094,13,14,1200
1.094,0,1,1200
1.096,7,8,1200
1.100,12,13,1200
1.101,15,0,1200
1.101,4,5,1200
1.102,5,6,1200
1.103,7,8,1200
1.103,15,0,1200
1.104,6,7,1200
1.104,7,8,1200
1.104,12,13,1200
1.107,1,2,1200
1.107,0,1,1200
1.107,4,5,1200
1.107,0,1,1200
1.108,15,0,1200
1.108,5,6,1200
1.113,15,0,1200
1.114,15,0,1200
1.115,6,7,1200
1.115,9,10,1200
1.116,12,13,1200
1.116,8,9,1200
1.119,12,13,1200
1.120,0,1,1200
1.120,8,9,1200
1.120,1,2,1200
1.122,4,5,1200
1.122,14,15,1200
1.124,12,13,1200
1.124,7,8,1200
1.126,15,0,1200
1.126,4,5,1200
1.128,2,3,1200
1.131,7,8,1200
1.132,11,12,1200
1.132,15,0,1200
1.132,1,2,1200
1.132,8,9,1200
1.133,13,14,1200
1.134,2,3,1200
1.137,1,2,1200
1.137,7,8,1200
1.137,8,9,1200
1.139,0,1,1200
1.139,2,3,1200
1.139,0,1,1200
1.142,9,10,1200
1.142,1,2,1200
1.143,4,5,1200
1.144,0,1,1200
1.145,7,8,1200
1.146,10,11,1200
1.147,2,3,1200
1.147,3,4,1200
1.148,8,9,1200
1.148,0,1,1200
